CC;CC_Label
ABW;Alpine - Body in white, glass, wiping, mechanisms
AEP;ALPINE EXTRUDED PARTS
AVL;ALPINE LEATHER
ASS;ALPINE SEATS SPORT PREMIUM
AIC;Alpine Interior Composite parts
AEC;Alpine Exterior Composite Parts
AAA;ALPINE AERO ACTIVE PARTS
A3F;Alpine engine cooling parts
AED;Alpine Exterior Deco & Stripping parts
AIP;Alpine Interior Plastic parts
ALT;Alpine Leather & specific Alpine Fabrics
KQ8;SYSTEME D'AIDE A LA CONDUITE
ZZ1;LUBRICANTS
NWC;LLC (CONQ)
DG3;EV 2ZB CONVERSION BOX
IBC;IT SYSTEM : NAVIGATION P&A
KQR;PROD PERSO
DF1;EV 2Z0 OTHER EV PARTS
IBJ;PLASTIC TRIM P&A
NTA;ANOTHER ACCESSARY
IBA;AUDIO HEAD P&A
KQY;REMORQUES
93G;AFTER SALES CONNECTIVITY
S2G;ETC CONT-CPM
IBM;HARNESS P&A
IBE;OTHER PARTS P&A
IBL;ALLOY WHEEL P&A
KPV;CHAINS FOR SNOW
NCA;ALLOY WHEEL
KQI;HOUSSES DE SIEGE
KQL;PLASTIC QUATERLIGHT
IBF;FLOOR CARPET P&A
KQM;PROTECTION
IBO;SUNROOF P&A
KPM;KIT VP/VS
KQX;GALE+ACCES
NNS;GOODS
KQV;COFFRE DE TOIT
XEH;ROOF RACK
XX1;QUICK CHARGER
KPL;RANGEMENTV
IBP;OUTSIDE MIRROR P&A
NXA;ANOTHER RUBRICANTS
KQJ;INTERNAL ACCESSORIES
KQT;ACCESSOIRES D'ATELAGE
KR1;FAIS ATTEL
KQE;FILETS DE MAINTIENT
KPW;ROUES COMPLETES HIVER DRFPA
NAA;VISOR
KQU;PORTE SKI PORTE VELO
NTB;AUTECH JAPAN LCV-BU
KPP;LOCKING WHEEL NUT
IBI;DO NOT USE
NQC;QUICK CHARGER COMPONENTS
HC1;PROTECTOR RR WHEEL
KPJ;ACCESSOIRES
NDJ;COMMUNICATION EQUIPMENT
KQN;FLARING
